word,counts
수행,31
가입자,31
선도,31
5천만원,31
한빛소프트,31
속여,31
거래에,31
서버,31
25일부터,31
엔진코인,31
폭행,31
코인네스트,31
8천달러,31
800억,31
세법개정안,31
착취,31
2단계,31
와치맨,31
과기부,31
가짜뉴스,31
얼라이언스,31
채굴한,31
7천달러,31
미투,31
법사위,31
캐치,31
정상회담,31
폭락에,30
16년,30
나왔다,30
앞장,30
보라,30
상승률,30
언급,30
갈까,30
극단적,30
간편결제,30
감독,30
대주주,30
반박,30
두고,30
회복세,30
영끌,30
전년比,30
가상화폐시장,30
넘은,30
배,30
수혜,30
하루새,30
주의해야,30
주식투자,30
받고,30
약세장,30
명단,30
혁명,30
가까이,30
우리은행,30
임원,30
400만원,30
거침없는,30
보관,30
돌파에,30
100만원,30
경쟁력,30
3개,30
400만,30
7200만원,30
교환,30
주범,30
점심,30
뿌린,30
시범구축,30
해커들,30
추가기소,30
범죄집단,30
매각설,30
7년,30
김용범,30
판사,30
유료,30
입법,30
진상조사,30
하이콘,30
크라우드펀딩,30
특감반,30
투자한,29
신호탄,29
폐쇄될,29
밝혀,29
③,29
열기,29
고객센터,29
부상,29
10만달러,29
먼저,29
뉴스퀘스트의,29
지난,29
마지막,29
주문,29
바꿀,29
뛰어든,29
가수,29
정부의,29
영업익,29
관,29
사퇴,29
세금은,29
몰리는,29
흔들리는,29
페이,29
차,29
처분,29
광주시,29
유망,29
향한,29
안에,29
제,29
해소,29
자료,29
반복,29
숨긴,29
지지선,29
영업,29
되는,29
4만,29
채굴장,29
수천억,29
트레이딩,29
영화,29
후끈,29
목표가,29
양도소득세,29
이자,29
결제시스템,29
돌연,29
전달,29
주목해야,29
공략,29
로블록스,29
패러다임,29
김정은,29
미래는,29
한달새,29
10조원,29
31%,29
예술품,29
파트너,29
6만달러,29
미중,29
버전,29
태평양,29
누적,29
코로나19로,29
연말,29
코인플러그,29
1명,29
AWS,29
해커톤,29
영장심사,29
전직,29
블로소득,29
가상화폐공개,29
아마존웹서비스,29
소속,28
소통,28
속출,28
후보,28
달러화,28
채권,28
①,28
용어,28
심각,28
8천만원,28
매도,28
실현,28
모델,28
아버지,28
지지,28
앞으로,28
탈세,28
부는,28
중소,28
책,28
사면,28
시대의,28
매매,28
취급,28
가나,28
부족,28
가는,28
위안,28
방송,28
근거,28
포커스,28
아이콘,28
채용,28
벌어,28
봇물,28
58%,28
장기,28
90%,28
회의,28
갈,28
당부,28
만들,28
카드뉴스,28
쉽게,28
못하는,28
포착,28
모아,28
남은,28
순위,28
18%,28
총력,28
안전,28
회피,28
선점,28
어려운,28
들어,28
갈취,28
해외로,28
라자루스,28
퍼블릭,28
줄어,28
IP,28
위메이드트리,28
안해,28
DeFi,28
게이츠,28
청산가리,28
연합,28
딜러,28
이용해,28
용의자,28
파산,28
헬스케어,28
4차산업혁명,28
안랩,28
카카오톡,28
두올산업,28
더벨,28
취약,28
오세성의,28
이더,27
접근,27
직장인,27
암호화폐의,27
뉴스리딩,27
비트레이드,27
꼭알,27
뛰는,27
말하는,27
코인에,27
직원들,27
해결,27
고지,27
끝까지,27
시장의,27
한국인,27
24시간,27
찾기,27
in,27
거부,27
실소유주,27
뛴,27
널뛰기,27
전일,27
가세,27
유니콘,27
혜택,27
성큼,27
앞,27
7대,27
8년,27
이동,27
위,27
신호,27
막는,27
다우지수,27
인사,27
이미지,27
잡는다,27
대학생,27
800만원,27
과정,27
45년,27
투자설명회,27
잃은,27
불붙은,27
긴장,27
활발,27
가상화폐주,27
6만,27
블랙록,27
폐지,27
역사,27
포스텍과,27
여행,27
실생활,27
비트박스,27
넘긴,27
블록체인을,27
투자의,27
체인,27
카르다노,27
소각,27
국제자금세탁방지기구,27
도박사이트,27
유죄,27
특화,27
퀀텀,27
뮤직브로,27
美송환,27
서지현,27
기술연구소,27
엑스포,27
수입,26
코인은,26
부진,26
주목받는,26
칠리즈,26
생활,26
부회장,26
비트코인을,26
가동,26
구멍,26
FOMC,26
국민의힘,26
투자에,26
아로와나토큰,26
청년들,26
공모,26
널뛰는,26
예의주시,26
5대,26
계속되는,26
나라,26
현실화,26
안정성,26
가상자산으로,26
투자했다,26
필요하다,26
말라,26
이번주,26
부각,26
빗썸거래소,26
오를,26
커피,26
번째,26
폭,26
나,26
코인마켓캡,26
일단,26
칼,26
대안,26
패닉,26
검증,26
맞아,26
편의점,26
조짐,26
제동,26
엇갈린,26
13억,26
